Instrument,Qty.,Avg. cost,LTP,Cur. val,P&L,Net chg.,Day chg.
AARTIIND,5,1311.45,1383.05,6915.25,358,5.46,-0.25
ICICIBANK,16,338.49,352.35,5637.6,221.75,4.09,-1.26
IEX,33,162.94,158.25,5222.25,-154.9,-2.88,-1.31
IFBAGRO,1,605,579.9,579.9,-25.1,-4.15,-1.29
IGPL,8,377.34,441.55,3532.4,513.7,17.02,-3.32
INDHOTEL,4,125.3,130.6,522.4,21.2,4.23,-1.02
INDIANB,17,229.6,221.95,3773.15,-130.05,-3.33,-3.27
INDIGO,2,826.45,948.6,1897.2,244.3,14.78,-4.37
INDNIPPON,5,443.4,467.7,2338.5,121.5,5.48,-3.75
INDUSINDBK,3,1472.52,1493,4479,61.45,1.39,-0.26
INFINITE,4,467.8,467.35,1869.4,-1.8,-0.1,-0.11
INFY,37,689.42,664.2,24575.4,-933,-3.66,0.42
IPAPPM,6,480.43,516,3096,213.45,7.4,-3.73
IRB,29,164.26,140.4,4071.6,-691.8,-14.52,1.12
ITC,70,308.23,273.85,19169.5,-2406.5,-11.15,-1.23
ITDCEM,77,126.08,116.1,8939.7,-768.8,-7.92,1.18
IVRCLINFRA,300,1.45,1.45,435,0,0,0.69
JBCHEPHARM,13,300.62,307.8,4001.4,93.35,2.39,-0.34
JINDALSAW,40,74.34,86.95,3478,504.25,16.96,-0.86
JINDALSTEL,29,187.58,180.6,5237.4,-202.35,-3.72,-2.01
JKPAPER,54,161.41,180.6,9752.4,1036.2,11.89,-2.59
JKTYRE,3,109.95,105.2,315.6,-14.25,-4.32,-2.37
JPASSOCIAT,400,7.03,6.95,2780,-30,-1.07,-1.56
JSL,304,58.03,51,15504,-2138.2,-12.12,-0.97
JSWSTEEL,25,368.54,344.55,8613.75,-599.85,-6.51,-0.85
JTEKTINDIA,19,118.32,114.8,2181.2,-66.85,-2.97,-2.51
JUBLFOOD,7,1147.65,1100.95,7706.65,-326.9,-4.07,1.06
KHADIM,23,657.29,590,13570,-1547.75,-10.24,-0.46
KNRCON,52,186.48,194.45,10111.4,414.55,4.28,-0.18
LEMONTREE,50,68.52,69.6,3480,54,1.58,-0.57
LGBBROSLTD,6,405.42,437.35,2624.1,191.6,7.88,-2.89
LT,4,1341.86,1367.2,5468.8,101.35,1.89,-0.1
LTI,3,1734.57,1709.85,5129.55,-74.15,-1.42,-0.56
LUMAXIND,4,1700.53,1666,6664,-138.1,-2.03,0.67
LUPIN,20,910.56,859.9,17198,-1013.2,-5.56,0.58
M&MFIN,1,422.55,430.2,430.2,7.65,1.81,0.06
MANPASAND,132,96.94,90.2,11906.4,-889.45,-6.95,-1.1
MINDTREE,6,851.76,863.4,5180.4,69.85,1.37,1.07
MOLDTECH,10,42.85,44,440,11.5,2.68,0.69
MONSANTO,3,2571.33,2588.85,7766.55,52.55,0.68,-0.21
MONTECARLO,18,362.61,350.55,6309.9,-217.1,-3.33,-1.02
MOTHERSUMI,6,159.88,164.05,984.3,25,2.61,-3.9
MPHASIS,18,1202.79,970.6,17470.8,-4179.5,-19.3,2.38
MUTHOOTCAP,1,843.85,847.8,847.8,3.95,0.47,0.64
NBCC,140,61.34,66.4,9296,709,8.26,1.14
NH,42,250.18,245.8,10323.6,-184.1,-1.75,0.84
NIITTECH,10,1243.96,1192.25,11922.5,-517.15,-4.16,1.75
NOCIL,8,165.78,175.85,1406.8,80.6,6.08,2.9
NTPC,38,162.64,152.8,5806.4,-374.1,-6.05,-1.07
ONGC,68,166.31,156.05,10611.4,-697.65,-6.17,-0.26
PARAGMILK,4,253.3,244.3,977.2,-36,-3.55,-2.61
PCJEWELLER,40,56.9,90.45,3618,1342,58.96,-1.52
TATAGLOBAL,9,230.24,214.7,1932.3,-139.85,-6.75,2.21
TATAMOTORS,80,249.43,186.05,14884,-5070.05,-25.41,-4.79
TATASTEEL,4,560.28,582.85,2331.4,90.3,4.03,1.67
TBZ,25,55.55,63.85,1596.25,207.5,14.94,-3.91
TCS,11,1902.14,1914.85,21063.35,139.85,0.67,0.26
TECHM,3,707.67,724.55,2173.65,50.65,2.39,2.45
TITAN,12,825.55,894.75,10737,830.35,8.38,5.51
TNPL,27,247.65,284.5,7681.5,995,14.88,-1.35
TORNTPOWER,17,237.58,259,4403,364.15,9.02,-3.68
TRIDENT,10,64.4,70.9,709,65,10.09,1.07
TV18BRDCST,20,36.17,37.4,748,24.5,3.39,-2.6
UNIONBANK,10,76.2,78.55,785.5,23.5,3.08,-4.03
UPL,4,640.29,733.2,2932.8,371.65,14.51,-0.99
V2RETAIL,37,296.37,270.05,9991.85,-974,-8.88,-0.61
VAKRANGEE,80,39.02,24.7,1976,-1145.5,-36.7,1.44
VEDL,64,220.48,203.15,13001.6,-1108.9,-7.86,-2.82
VENKEYS,2,2480.98,2375.15,4750.3,-211.65,-4.27,-0.15
VIJAYABANK,80,42.59,42.15,3372,-35,-1.03,-1.52
VIPIND,18,459.67,438.35,7890.3,-383.8,-4.64,-2.91
VSTIND,2,2767.83,2971.25,5942.5,406.85,7.35,-3.94
WIPRO,10,317.7,323.35,3233.5,56.5,1.78,-0.48
WSTCSTPAPR,11,348.24,396.65,4363.15,532.55,13.9,-0.41
YESBANK,34,236.33,223.05,7583.7,-451.55,-5.62,-2.13
ZEEL,21,472.39,437.8,9193.8,-726.35,-7.32,-2.82
